ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position
,simple,,Balo-da-Nữ-Thời-Trang-cao-cấp-FM---119,1,,visible,,,,,taxable,,1,,,,,,,,,,94.000 ₫,238.900 ₫,Tshirts,,,http://localhost/wordpress/wp-content/uploads/2018/05/Balo-da-Nu-Thoi-.jpg,,,,,,,,,
,simple,,Balo-Nữ-Đi-Học---Db017la-(Hồng),1,,visible,,,,,taxable,,1,,,,,,,,,,85.000 ₫,149.000 ₫,Tshirts,,,http://localhost/wordpress/wp-content/uploads/2018/05/Balo-Nu-Di-Hoc-.jpg,,,,,,,,,
,simple,,Balo-đi-học-nữ-dễ-thương-ASB76-(Xanh-dương),1,,visible,,,,,taxable,,1,,,,,,,,,,82.500 ₫,189.000 ₫,Tshirts,,,http://localhost/wordpress/wp-content/uploads/2018/05/Balo-di-hoc-nu-.jpg,,,,,,,,,
,simple,,Balo-nữ-thời-trang-Hàn-Quốc-NguyenDuongGroup-AW-(Xanh-biển),1,,visible,,,,,taxable,,1,,,,,,,,,,35.997 ₫,55.000 ₫,Tshirts,,,http://localhost/wordpress/wp-content/uploads/2018/05/Balo-nu-thoi-tra.jpg,,,,,,,,,
,simple,,BALO-NAM-NỮ-ĐI-HỌC-THỜI-TRANG-DB111-2LA-(XÁM-ĐEN---Hàng-công-ty),1,,visible,,,,,taxable,,1,,,,,,,,,,65.000 ₫,170.000 ₫,Tshirts,,,FALSE,,,,,,,,,
,simple,,Balô-thời-trang-nam-nữ-Ancom-GL-389bf-(Xanh-phối-)-+-Tặng-ví-cầm-tay-hình-bao-thư-bằng-da-bỏ-được-điện-thoại-màn-hình-6&#x27;&#x27;-sang-trọng,1,,visible,,,,,taxable,,1,,,,,,,,,,51.000 ₫,159.000 ₫,Tshirts,,,http://localhost/wordpress/wp-content/uploads/2018/05/Balo-thòi-trang-.jpg,,,,,,,,,
,simple,,COMBO-1114:-Balo-laptop-Alan-Walker-1114D-+-Áo-khoác-Alan-Walker-+-nón-kết-Alan-Walker-(ĐEN),1,,visible,,,,,taxable,,1,,,,,,,,,,122.400 ₫,249.000 ₫,Tshirts,,,http://localhost/wordpress/wp-content/uploads/2018/05/COMBO-1114:-Balo-lap.jpg,,,,,,,,,
,simple,,Balo-Nữ-Thời-Trang-PRAZA---BL151-(Đỏ)-(Tặng-Móc-Khóa)---Hãng-Phân-Phối-Chính-Thức,1,,visible,,,,,taxable,,1,,,,,,,,,,79.000 ₫,149.000 ₫,Tshirts,,,http://localhost/wordpress/wp-content/uploads/2018/05/Balo-Nu-Thoi-Tra.jpg,,,,,,,,,
,simple,,Balo-mèo-dễ-thương,1,,visible,,,,,taxable,,1,,,,,,,,,,50.000 ₫,,Tshirts,,,FALSE,,,,,,,,,
,simple,,BALO-THỜI-TRANG-NAM-NỮ-PECULIAR-(TRẮNG),1,,visible,,,,,taxable,,1,,,,,,,,,,46.000 ₫,90.000 ₫,Tshirts,,,http://localhost/wordpress/wp-content/uploads/2018/05/BALO-THOI-TRANG-NA.jpg,,,,,,,,,
